smiles,cid,Molecular_Weight,Hydrogen_bond_Acceptor,Hydrogen_bond_Donor,xlogP,Physiological_Charge,Polarized_Surface_Area,Number_of_Rotatable_bonds,BBB
CCCN(CCC)CCc1cccc2c1CC(=O)N2,5095,260.37,2,1,2.7,0,32.3,7,1
CSC(=N)N,5142,90.15,2,2,0.2,0,75.2,1,1
NC(=O)c1ccccc1O,5147,137.14,2,2,1.3,0,63.3,1,1
Oc1ccccc1C(=O)Oc1ccccc1C(=O)O,5161,258.23,5,2,3,0,83.8,4,1
CN1CCC2=C(C1)c1ccccc1Cc1c2cccc1,5205,261.4,1,0,3.3,0,3.2,0,1
FCOC(C(F)(F)F)C(F)(F)F,5206,200.05,8,0,2.8,0,9.2,2,1
Nc1ccc(cc1)S(=O)(=O)Nc1ncccn1,5215,250.28,6,2,-0.1,0,106,3,1
Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1,5265,395.5,5,1,3,0,52.6,6,1
Nc1ccc(cc1)S(=O)(=O)Nc1noc(c1)C,5329,253.28,6,2,0.9,0,107,3,1
OC(=O)C1=C/C(=N\Nc2ccc(cc2)S(=O)(=O)Nc2ccccn2)/C=CC1=O,5339,398.4,9,3,-0.7,0,150,6,0
Nc1ccc(cc1)S(=O)(=O)Nc1onc(c1C)C,5344,267.31,6,2,1,0,107,3,1
O=S1(=O)CCCCN1c1ccc(cc1)S(=O)(=O)N,5356,290.4,6,1,0.1,0,114,2,1
Cn1cnc2c1c(=O)[nH]c(=O)n2C,5429,180.16,3,1,-0.8,0,67.2,0,1
CCSc1ccc2c(c1)N(CCCN1CCN(CC1)C)c1c(S2)cccc1,5440,399.6,5,0,5.4,0,60.3,6,1
S=P(N1CC1)(N1CC1)N1CC1,5453,189.22,4,0,0.5,0,41.1,3,1
CCN(CCNC(=O)c1cc(ccc1OC)S(=O)(=O)C)CC,5467,328.4,5,1,0.9,0,84.1,8,1
CCS(=O)(=O)CCn1c(C)ncc1[NH]([O])=O,5479,247.27,5,0,-0.4,0,106,4,1
CCN(C(=O)c1cccnc1)CC,5497,178.23,2,0,0.3,0,33.2,3,1
O=C(NS(=O)(=O)c1ccc(cc1)C)NN1CCCCCC1,5503,311.4,4,2,1.5,0,86.9,3,0
CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,5505,270.35,3,2,2.3,0,83.6,5,0
CCC1(O)C(=O)OCc2c1cc1c3nc4ccc(c(c4cc3Cn1c2=O)CN(C)C)O,5515,421.4,7,2,0.5,0,103,3,1
CCCCNc1c(C(=O)OCC)c(C)nc2c1cnn2CC,5522,304.39,5,1,3.5,0,69,8,1
Clc1cccc(c1)N1CCN(CC1)CCCn1nc2n(c1=O)cccc2,5533,371.9,4,0,2.8,0,42.4,5,1
Nc1nc(N)c2c(n1)nc(c(n2)c1ccccc1)N,5546,253.26,7,3,1,0,130,1,0
Clc1ccc2c(c1)C(=NCc1n2c(C)nn1)c1ccccc1Cl,5556,343.2,3,0,2.4,0,43.1,1,1
BrC(Br)Br,5558,252.73,0,0,2.8,0,0,0,1
ClC(COP(=O)(O)O)(Cl)Cl,5563,229.38,4,2,0.3,0,66.8,2,1
CN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,5566,407.5,7,0,5,0,35,4,1
Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1cccc(c1)C(F)(F)F,5567,409.4,7,1,3.5,0,40.5,6,1
CN(CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F)C,5568,352.4,6,0,5.2,0,31.8,4,1
OC(c1ccccc1)(C1CCCCC1)CCN1CCCCC1,5572,301.5,2,1,4.5,0,23.5,5,1
O=C1OC(C(=O)N1C)(C)C,5576,143.14,3,0,0.3,0,46.6,0,1
COc1cc(Cc2cnc(nc2N)N)cc(c1OC)OC,5578,290.32,7,2,0.9,0,106,5,1
COc1cc(NCc2ccc3c(c2C)c(N)nc(n3)N)cc(c1OC)OC,5583,369.4,8,3,2.5,0,118,6,1
CC(Nc1cccnc1N1CCN(CC1)C(=O)c1cc2c([nH]1)ccc(c2)NS(=O)(=O)C)C,5625,456.6,7,3,2.4,0,119,6,0
CCOC(=O)N,5641,89.09,2,1,-0.2,0,52.3,2,1
Cc1cccc(c1NC1=NCCCS1)C,5707,220.34,2,1,2.8,0,49.7,2,1
Cc1ccc(cc1)c1nc2n(c1CC(=O)N(C)C)cc(cc2)C,5732,307.4,2,0,2.5,0,37.6,3,1
NS(=O)(=O)Cc1noc2c1cccc2,5734,212.23,5,1,0.2,0,94.6,2,1
CN(CCOC1=Cc2ccccc2Sc2c1cc(Cl)cc2)C,5736,331.9,3,0,4.8,0,37.8,4,1
CCC(c1ccccc1)(COC(=O)N)O,5752,209.24,3,2,1.1,0,72.6,5,1
CC(NC[C@H](c1ccc(c(c1)O)O)O)C,5808,211.26,4,4,-0.6,0,72.7,4,0
NC[C@H](c1ccc(c(c1)O)O)O,5814,169.18,4,4,-1.2,0,86.7,2,0
C[C@@H](Cc1ccccc1)N,5826,135.21,1,1,1.8,0,26,2,1
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,5838,236.27,3,2,1.8,0,75.3,2,1
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,5842,208.21,3,2,1,0,75.3,4,1
C1CCn2c(CC1)nnn2,5917,138.17,3,0,0.1,0,43.6,0,1
CC(C(Cl)(Cl)Cl)(O)C,5977,177.45,1,1,2,0,20.2,0,1
CN(c1c(C)n(n(c1=O)c1ccccc1)C)C,6009,231.29,3,0,1,0,26.8,2,1
OC(=O)[C@H](Cc1ccc(c(c1)O)O)N,6047,197.19,5,4,-2.7,0,104,3,1
CN(CCCN1c2ccccc2Sc2c1cc(cc2)C(=O)C)C,6077,326.5,4,0,4.2,0,48.8,5,1
ClC(Cl)Cl,6212,119.37,0,0,2.3,0,0,0,1
CCCCCO,6276,88.15,1,1,1.6,0,20.2,3,1
CC(Cl)(Cl)Cl,6278,133.4,0,0,2.4,0,0,0,1
Cc1nc2ccccc2c(=O)n1c1ccccc1C,6292,250.29,2,0,2.5,0,32.7,1,1
OC(=O)[C@H](Cc1c[nH]c2c1cccc2)N,6305,204.22,3,3,-1.1,0,79.1,3,1
C=C,6325,28.05,0,0,1.2,0,0,0,1
CCCl,6337,64.51,0,0,1.2,0,0,0,1
ClCCl,6344,84.93,0,0,1.5,0,0,0,1
S=C=S,6348,76.15,2,0,2.1,0,64.2,0,1
C1CC1,6351,42.08,0,0,1.6,0,0,0,1
O1CC1,6354,44.05,1,0,-0.1,0,12.5,0,1
CC(Br)C,6358,122.99,0,0,1.8,0,0,0,1
CC(Cl)Cl,6365,98.96,0,0,1.9,0,0,0,1
CC(O)(C)C,6386,74.12,1,1,0.5,0,20.2,0,1
OCC(Br)(Br)Br,6400,282.76,1,1,2.1,0,20.2,0,1
CCC(C)(C)C,6403,86.18,0,0,3,0,0,1,1
CCC(O)(C)C,6405,88.15,1,1,0.9,0,20.2,1,1
ClCC(F)(F)F,6408,118.48,3,0,1.9,0,0,0,1
FC(C(Cl)(F)F)(Cl)F,6429,170.92,4,0,2.8,0,0,1,1
CCC(S(=O)(=O)CC)(S(=O)(=O)CC)C,6433,242.4,4,0,1,0,85,5,1
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,6464,210.23,3,2,1.1,0,75.3,3,1
C1CCC(CC1)(N1CCCCC1)c1ccccc1,6468,243.4,1,0,3.6,0,3.2,2,1
CCCCC1(CC)C(=O)NC(=O)NC1=O,6473,212.25,3,2,1.7,0,75.3,4,1
CN(CCOC(c1ccc(cc1)Cl)(c1ccccc1)C)C,6475,303.8,2,0,4.1,0,12.5,6,1
CN1C(=O)CC(C1=O)(C)c1ccccc1,6476,203.24,2,0,1.2,0,37.4,1,1
CCC(C(=O)NC(=O)N)(CC)Br,6488,237.09,2,2,1.5,0,72.2,3,1
CCC(C(=O)NC(=O)NC(=O)C)(CC)Br,6489,279.13,3,2,2.3,0,75.3,3,1
CC(CC)(CC)O,6493,102.17,1,1,1.4,0,20.2,2,1
OCC(CO)(CO)N,6503,121.14,4,4,-2.9,0,86.7,3,0
CCC(OC(=O)N)(CC)C,6526,145.2,2,1,1.5,0,52.3,4,1
OCC(C)C,6560,74.12,1,1,0.8,0,20.2,1,1
CCC(=O)C,6569,72.11,1,0,0.3,0,17.1,1,1
ClCC(Cl)Cl,6574,133.4,0,0,1.9,0,0,1,1
ClC=C(Cl)Cl,6575,131.38,0,0,2.6,0,0,0,1
COC(=O)C,6584,74.08,2,0,0.2,0,26.3,1,1
CC(C(O)(C)C)(c1ccc(cc1)Cl)O,6617,214.69,2,2,1.8,0,40.5,2,1
CC(c1ccc(cc1)O)(c1ccc(cc1)O)C,6623,228.29,2,2,3.3,0,40.5,2,1
CC(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,6762,446,6,0,4.8,0,61.3,8,1
CN[C@H]([C@H](c1ccccc1)O)C,7028,165.23,2,2,0.9,0,32.3,3,0
CCCOC(=O)c1ccc(cc1)N,7174,179.22,3,1,2.4,0,52.3,4,1
Cc1ccccc1C,7237,106.16,0,0,3.1,0,0,0,1
Cc1ccc(c(c1)C)C,7247,120.19,0,0,3,0,0,0,1
CCC(CC)C,7282,86.18,0,0,3.2,0,0,2,1
CC1CCCC1,7296,84.16,0,0,3.4,0,0,0,1
FC(c1ccc(cc1)Cl)(F)F,7394,180.55,3,0,3.8,0,0,0,1
CCc1ccccc1,7500,106.16,0,0,3.1,0,0,1,1
C=Cc1ccccc1,7501,104.15,0,0,2.9,0,0,1,1
OCc1cccnc1,7510,109.13,2,1,0,0,33.1,1,0
Cc1ccc(cc1)C,7809,106.16,0,0,3.2,0,0,0,1
CCCBr,7840,122.99,0,0,2.1,0,0,1,1
C=CC=C,7845,54.09,0,0,2,0,0,1,1
C=CCN,7853,57.09,1,1,0.1,0,26,1,1
CCCC(C)C,7892,86.18,0,0,3.2,0,0,2,1
CCCC(=O)C,7895,86.13,1,0,0.9,0,17.1,2,1
OCCN(C)C,7902,89.14,2,1,-0.4,0,23.5,2,1
CC(OC(=O)C)C,7915,102.13,2,0,0.9,0,26.3,2,1
Cc1cccc(c1)C,7929,106.16,0,0,3.2,0,0,0,1
CCCOC(=O)C,7997,102.13,2,0,1.2,0,26.3,3,1
CCCCC,8003,72.15,0,0,3.4,0,0,2,1
C=COC=C,8024,70.09,1,0,1.3,0,9.2,2,1
CC(COC(=O)C)C,8038,116.16,2,0,1.8,0,26.3,3,1
CCCCCC,8058,86.18,0,0,3.9,0,0,3,1
C1CCCCC1,8078,84.16,0,0,3.4,0,0,0,1
CCCCCCC=C,8125,112.21,0,0,4.6,0,0,5,1
CCCCCCCCC,8141,128.25,0,0,4.5,0,0,6,1
CC=C,8252,42.08,0,0,1.4,0,0,0,1
CCS(=O)(=O)C(S(=O)(=O)CC)(C)C,8262,228.3,4,0,0.4,0,85,4,1
CCC1(C(=O)NC(=O)N(C1=O)C)c1ccccc1,8271,246.26,3,1,1.8,0,66.5,2,1
CCC(C1(CC=C)C(=O)NC(=O)NC1=O)C,8275,224.26,3,2,1.4,0,75.3,4,1
CCC1(C)OC(=O)N(C1=O)C,8280,157.17,3,0,0.8,0,46.6,1,1
O=C(c1ccccc1O)Oc1ccccc1,8361,214.22,3,1,3.8,0,46.5,3,1
COC(=O)c1ccc(cc1)C(=O)OC,8441,194.18,4,0,2.2,0,52.6,4,1
Ic1c(C)n(n(c1=O)c1ccccc1)C,8522,314.12,2,0,1.3,0,23.6,1,1
Nc1cccc(c1)n1ccccc1=O,8641,186.21,2,1,1.3,0,46.3,1,1
CCC(CO)C,8723,88.15,1,1,1.2,0,20.2,2,1
OC(=O)c1ccc(cc1)S(=O)(=O)N,8739,201.2,5,2,0.5,0,106,2,1
CCOC(=O)C,8857,88.11,2,0,0.7,0,26.3,2,1
CCCCCCC,8900,100.2,0,0,4.4,0,0,4,1
CCCCCCC1(CC)C(=O)NC(=O)NC1=O,8942,240.3,3,2,2.5,0,75.3,6,1
CCOC(=O)C1(CCN(CC1)CCc1ccc(cc1)N)c1ccccc1,8944,352.5,4,1,3.7,0,55.6,7,1
NN,9321,32.046,2,2,-1.5,0,52,0,1
CCN(CCOC(=O)C(c1ccccc1)(c1ccccc1)O)CC,9330,327.4,4,1,2.6,0,49.8,9,1
ClCCC(=O)NCCc1ccccc1,9376,211.69,1,1,2,0,29.1,5,1
OCCN1CCN(CC1)CCCN1c2ccccc2C=Cc2c1cccc2,9417,363.5,4,1,3.6,0,30,6,1
CN(CCn1c2ccccc2n(c2c(c1=O)cccc2)C)C,9419,295.4,3,0,2.7,0,26.8,3,1
CN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)S(=O)(=O)N(C)C,9429,446.6,7,0,3.7,0,80.8,6,1
Cc1nc2ccccc2c(=O)n1c1ccccc1Cl,9567,270.71,2,0,2.8,0,32.7,1,1
CC(C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1)CN1CCOCC1,9648,392.5,3,0,3.8,0,32.8,6,1
CCC1(CC)C(=O)NC(=O)N(C1=O)c1ccccc1,9650,260.29,3,1,2.7,0,66.5,3,1
ClC=C(F)F,9664,98.48,2,0,1.5,0,0,0,1
COc1cc(cc(c1OC)OC)C(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,9800,598.2,9,0,6.3,0,89,12,1
C=COCC(F)(F)F,9844,126.08,4,0,1.9,0,9.2,2,1
CCC(=O)C(c1ccccc1)(c1ccccc1)C(CN(C)C)C,10072,309.4,2,0,4.4,0,20.3,7,1
CCC(=O)C(c1ccccc1)(c1ccccc1)CCN(C)C,10090,295.4,2,0,3.5,0,20.3,7,1
CCC(=O)C1(CCN(CC1)C)c1cccc(c1)O,10101,247.33,3,1,1,0,40.5,3,1
OC(=O)CNC(=O)c1ccccc1O,10253,195.17,4,3,0.9,0,86.6,3,1
CN(CCc1c[nH]c2c1cc(O)cc2)C,10257,204.27,2,2,1.2,0,39.3,3,1
ClCCC(=O)NCc1ccccc1,10391,197.66,1,1,1.7,0,29.1,4,1
CCC1(C(=O)NC(=O)NC1=O)C1=CCCCCC1,10518,250.29,3,2,2,0,75.3,2,1
CN(CCn1cnc2c1c(=O)n(C)c(=O)n2C)C,10612,251.29,4,0,-0.5,0,61.7,3,1
CN(CCc1c[nH]c2c1c(ccc2)OP(=O)(O)O)C,10624,284.25,5,3,-1.6,0,85.8,5,1
Clc1cccc(c1)N1CCN(CC1)CCCn1c(=O)[nH]c2c(c1=O)cccc2,10675,398.9,4,1,3.2,0,55.9,5,1
Cc1ncsc1CCCl,10783,161.65,2,0,2.1,0,41.1,2,1
CN[C@H](Cc1ccccc1)C,10836,149.23,1,1,2.1,0,12,3,1
CCCC(CC)C,11507,100.2,0,0,3.7,0,0,3,1
CCCCC(C)C,11582,100.2,0,0,3.7,0,0,3,1
CCCCCC(C)C,11594,114.23,0,0,4.3,0,0,4,1
CC(=O)Nc1cccc(c1)O,12124,151.16,2,2,0.7,0,49.3,1,1
CCCCCOC(=O)C,12348,130.18,2,0,1.9,0,26.3,5,1
ClCC(Cl)(Cl)Cl,12418,167.8,0,0,2.7,0,0,0,1
COc1cc(cc(c1OC)OC)C(=O)N1CCOCC1,12478,281.3,5,0,0.9,0,57.2,4,1
CCOC(C)(C)C,12512,102.17,1,0,1.4,0,9.2,2,1
CCCC(=O)c1ccc2c(c1)N(CCCN1CCN(CC1)C)c1c(S2)cccc1,12598,409.6,5,0,5,0,52.1,7,1
CCC1(C(=O)NC(=O)N(C1=O)C(=O)c1ccccc1)c1ccccc1,12938,336.3,4,1,3.3,0,83.6,3,1
O=C(c1ccc(cc1)N)Nc1c(C)cccc1C,13086,240.3,2,2,2.2,0,55.1,2,1
CC(=O)NCC1(CCN(CC1)CCCC(=O)c1ccc(cc1)F)c1ccccc1,13122,396.5,4,1,3.6,0,49.4,8,1
FCC(F)(F)F,13129,102.03,4,0,1.7,0,0,0,1
CCCCCCCC(C)C,13379,142.28,0,0,5.3,0,0,6,1
CCCCCCCCC=C,13381,140.27,0,0,5.7,0,0,7,1
CCCCC1(CCOC(=O)N)C(=O)NC(=O)NC1=O,13743,271.27,5,3,0.5,0,128,7,1
Clc1ccc2=NC(=O)CN(C(=c2c1)c1ccccc1)O,13756,286.71,3,1,2.3,0,52.9,1,1
O=C1C=CC=C/C/1=c/1\ocn[nH]1,13883,162.15,4,1,1.1,0,59.2,1,1
NC(=N)NCCCOc1ccccc1,13923,193.25,2,2,1.1,0,73.6,5,1
CC[C@H](NCCN[C@H](CO)CC)CO,14052,204.31,4,4,-0.1,0,64.5,9,0
OCc1c(CSSCc2cnc(c(c2CO)O)C)cnc(c1O)C,14190,368.5,8,4,1.2,0,157,7,1
Nc1ccc(cc1)S(=O)(=O)N1C[C@@H]2CC[C@H](C1)CC2,14380,280.39,4,1,1.9,0,71.8,2,1
CN(CCCN1c2ccccc2Sc2c1nccc2)C,14670,285.4,4,0,3.4,0,44.7,4,1
CCCOC(=O)Cc1ccc(c(c1)OC)OCC(=O)N(CC)CC,15004,337.4,5,0,2.8,0,65.1,11,1
CC[C@@H](C(c1ccccc1)(c1ccccc1)C[C@@H](N(C)C)C)OC(=O)C,15130,353.5,3,0,4.3,0,29.5,9,1
COc1ccccc1N1CCN(CC1)CCCC(=O)c1ccc(cc1)F,15139,356.4,5,0,3.6,0,32.8,7,1
CCC(=O)OC(c1ccccc1)(C(CN(C)C)C)Cc1ccccc1,15330,339.5,3,0,4.2,0,29.5,9,1
CC1CCN(CC1)CCCC(=O)c1ccc(cc1)F,15387,263.35,3,0,3.3,0,20.3,5,1
COC(C)(C)C,15413,88.15,1,0,0.9,0,9.2,1,1
Fc1ccc(cc1)C(=O)CCCN1CCN(CC1)c1ccccn1,15443,327.4,5,0,3.3,0,36.4,6,1
CCCCCCCCCC,15600,142.28,0,0,5,0,0,7,1
OC(c1ccccc1)(c1ccccc1)C1CCNCC1,15723,267.4,2,2,2.9,0,32.3,3,1
CN1CCN(CC1)C1=Nc2ccccc2Cc2c1cccc2,16106,291.4,2,0,2.8,0,18.8,1,1
OCCN(CCn1c(Cc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C)CC,16229,385.5,5,1,1.2,0,81.9,8,1
NC(=NC(=O)c1nc(Cl)c(nc1N)N)N,16231,229.63,5,4,-0.7,0,159,1,0
CN1CCN(CC1)C1=Nc2ccccc2Sc2c1cc(Cl)cc2,16351,343.9,3,0,3.6,0,44.1,1,1
Fc1ccc(cc1)C(c1ccc(cc1)F)CCCN1CCC(CC1)n1c(=O)[nH]c2c1cccc2,16362,461.5,4,1,6.3,0,35.6,7,1
Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)n1c(=O)[nH]c2c1cccc2,16363,381.4,4,1,3.7,0,52.6,6,1
CC(=O)Nc1ccc(cc1)OC(C)(C)C,16426,207.27,2,1,2.4,0,38.3,3,1
CCNC1(CCCCC1)c1ccccc1,16622,203.32,1,1,3.3,0,12,3,1
CCOC(=O)N(C1CC1)Cc1ccccc1,17298,219.28,2,0,2.5,0,29.5,5,1
FS(F)(F)(F)(F)F,17358,146.06,6,0,4.2,0,1,0,1
OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(=O)C,17676,411.6,6,1,2.6,0,72.3,7,1
Cc1nccnc1N1CCCCC1,17860,177.25,3,0,1.5,0,29,1,1
O=C1CN=C(c2c(N1)ccc(c2)Cl)c1ccccc1Cl,17925,305.2,2,1,3.1,0,41.5,1,1
O=C1CCC2(C(=O)N1)CCC(=O)c1c2cccc1,17928,243.26,3,1,0.7,0,63.2,0,1
Clc1ccc2c(c1)C(=NCC(=S)N2C)c1ccccc1,17931,300.8,2,0,3.6,0,47.7,1,1
OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(=O)CC,18104,425.6,6,1,3.1,0,72.3,8,1
CC(C1CCCCC1)(C)C,18508,140.27,0,0,4.7,0,0,1,1
CCCCCCC(C)C,18591,128.25,0,0,4.8,0,0,5,1
O=C1NCNC1(c1ccccc1)c1ccccc1,18622,238.28,2,2,2.2,0,41.1,2,1
COc1ccc2c(c1)N(CCCN(C)C)c1c(S2)cccc1,18847,314.4,4,0,4.9,0,41,5,1
CC(NNC(=O)COc1ccc(cc1)Cl)C,19063,242.7,3,2,2,0,50.4,5,1
CCC(=O)C1(CCN(CC1)CCCC(=O)c1ccc(cc1)F)N1CCCCC1,19607,388.5,5,0,3.3,0,40.6,8,1
OCCC1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(=O)C,19675,410.6,5,1,4,0,69.1,7,1
OCCN1CCCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,19687,451.5,8,1,4.7,0,55.2,6,1
CCCC(COC(=O)N)(COC(=O)NCCCC)C,20266,274.36,4,2,2.4,0,90.6,11,1
CN(=O)(CCC=C1c2ccccc2CCc2c1cccc2)C,20313,293.4,1,0,4.5,0,18.1,3,1
O=C(C(c1ccccc1)(c1ccccc1)O)OCCN1CCCCC1,20674,339.4,4,1,3.5,0,49.8,7,1
OCCOC(=O)NCc1ccccc1,20787,195.21,3,2,0.8,0,58.6,5,1
CN(CCCn1c(=O)n(c2c1ccc(c2)Cl)c1ccccc1)C,20883,329.8,2,0,2.9,0,26.8,5,1
CN(CCON=C1c2ccccc2CCc2c1cccc2)C,21087,294.4,3,0,4.3,0,24.8,4,1
CC(=O)Nc1ccc(cc1)OC(=O)c1ccccc1OC(=O)C,21102,313.3,5,1,2.2,0,81.7,6,1
Fc1ccc(cc1)C(c1ccc(cc1)F)CCCN1CCN(CC1)CCNc1ccccc1,21693,449.6,5,1,6.1,0,18.5,10,1
CN(CCCn1c2CCCCCCc2c2c1cccc2)C,21722,284.4,1,0,4.6,0,8.2,4,1
c1ccc(cc1)Cn1cc(c2c1cccc2)CCc1ccncc1,21770,312.4,1,0,4.7,0,17.8,5,1
CN(CC(CC1c2ccccc2CCc2c1cccc2)C)C,21772,293.4,1,0,5.1,0,3.2,4,1
O=C(OCC(Cl)(Cl)Cl)OCC(Cl)(Cl)Cl,21851,324.8,3,0,4.2,0,35.5,4,1
CCC1(C(=O)NC(=O)N1C)c1ccccc1,21908,218.25,2,1,1.5,0,49.4,2,1
CCOC(=O)C1(CCN(CC1)CCCNc1ccccc1)c1ccccc1,21950,366.5,4,1,4.5,0,41.6,9,1
CN1CCN(CC1)C1=Nc2ccccc2Sc2c1cc(C)cc2,22047,323.5,3,0,3.3,0,44.1,1,1
CN(c1nccnc1)C,23483,123.16,3,0,0.9,0,29,1,1
CNCCCC1(OC(c2c1cccc2)(C)C)c1ccccc1,23573,295.4,2,1,3.5,0,21.3,5,1
NC(=O)C1c2ccccc2CCc2c1cccc2,23603,237.3,1,1,2.4,0,43.1,1,1
CN(CCN1CCN(C1=O)c1cccc(c1)Cl)C,23728,267.75,2,0,1.7,0,26.8,4,1
CN(CCC1(C=Cc2c1cccc2)c1ccccc1)C,23878,263.4,1,0,4.6,0,3.2,4,1
Clc1ccc2c(c1)N(CCCN1CCN(CC1)CCN1CCN(C1=O)C)c1c(S2)cccc1,23896,486.1,5,0,4.2,0,58.6,7,1
CCc1ccccc1n1c(C)nc2c(c1=O)cccc2,23914,264.32,2,0,2.9,0,32.7,2,1
Clc1ccc2c(c1)C(=NCC(=O)N2C)C1=CCCCC1,25215,288.77,2,0,3.2,0,32.7,1,1
NC(=O)C1c2ccccc2C=Cc2c1cccc2,25255,235.28,1,1,2.9,0,43.1,1,1
Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(c(c1)C(F)(F)F)Cl,25293,443.9,7,1,4.1,0,40.5,6,1
CN(CCC=C1c2ccccc2C(c2c1cccc2)(C)C)C,25382,291.4,1,0,5.6,0,3.2,3,1
Fc1cccc(c1)c1nn(c(=S)n1C)C,25431,223.27,3,0,1.9,0,50.9,1,1
CCN(CCOC1(CCCCC1)c1ccc(cc1)Cl)CC,25904,309.9,2,0,4.6,0,12.5,7,1
Clc1cccc(c1)C(C(O)(C)C)(O)C,26369,214.69,2,2,1.8,0,40.5,2,1
NC(=O)C1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)S(=O)(=O)C,26388,445.6,6,1,3.1,0,117,6,1
CCNC1(CCCCC1=O)c1cccs1,26533,223.34,3,1,2,0,57.3,3,1
COc1cc(cc(c1OC)OC)C(=O)N1CCCCCCC1,26650,307.4,4,0,3,0,48,4,1
C1CN2C(=N[C@H](C2)c2ccccc2)S1,26879,204.29,2,0,1.8,0,40.9,1,1
CCCCCCCCCCOc1c(OC)cc(cc1OC)C(=O)N,26929,337.5,4,1,5.2,0,70.8,13,1
CN1CCC(=C2c3ccsc3CCc3c2cccc3)CC1,27400,295.4,2,0,3.8,0,31.5,0,1
OCCCC(=O)NCC(c1cccc(c1)OC)(CC)CC,27453,293.4,3,2,2.7,0,58.6,9,1
CCN(c1ccc(c(c1)C)NC(=O)c1ccccc1N)CC,27761,297.4,3,2,3.8,0,58.4,5,1
NNC(=O)CP(=O)(c1ccccc1)c1ccccc1,27918,274.25,3,2,1.1,0,72.2,4,1
CNCCCN1c2ccccc2Sc2c1cccc2,28315,270.4,3,1,4.1,0,40.6,4,1
CCN(CCn1cnc2c1c(=O)n(C)c(=O)n2C)CC,28329,279.34,4,0,0.3,0,61.7,5,1
CN(CCCN1c2ccccc2CC(=O)c2c1cccc2)C,28424,294.4,3,0,3.4,0,23.6,4,1
CNCC12CCC(c3c1cccc3)c1c2cccc1,28425,249.3,1,1,3.7,0,12,2,1
CCN(CCNC(=O)COc1ccc(cc1)Cl)CC,28554,284.78,3,1,2.6,0,41.6,8,1
FC(c1ccc2c(c1)N(CCCN1CCN(CC1)C1CC1)c1c(S2)cccc1)(F)F,28690,433.5,7,0,5.6,0,35,5,1
CN(CCCn1c(=O)c2ccccc2c2c1cccc2)C,28692,280.4,2,0,3,0,23.6,4,1
CNCCON=c1c2ccccc2ccc2c1cccc2,28876,278.3,3,1,4,0,33.6,4,1
NC(=O)CN1Cc2ccccc2OC1=O,29083,206.2,3,1,0.2,0,72.6,2,1
CCC[C@@H](C1(CC=C)C(=O)NC(=O)NC1=O)C,30019,238.28,3,2,2,0,75.3,5,1
CC(NC(=O)OC1CCN(CC1)CCCC(=O)c1ccc(cc1)F)C,30429,350.4,5,1,3.1,0,58.6,8,1
C[C@@H]1N(C)CCO[C@H]1c1ccccc1,30487,191.27,2,0,1.9,0,12.5,1,1
O=C1Nc2ccc(cc2C(O1)(C)C)Br,30630,256.1,2,1,2.4,0,38.3,0,1
CNCCCC1(C)c2ccccc2N(C1=O)c1ccccc1,31075,294.4,2,1,3.2,0,32.3,5,1
CN1C(=O)CC(=O)N(c2c1ccc(c2)C(F)(F)F)c1ccccc1,31157,334.29,5,0,2.4,0,40.6,1,1
C[C@@H]1O[C@H](C)O[C@H](O1)C,31264,132.16,3,0,0.7,0,27.7,0,1
CCCCOC(=O)C,31272,116.16,2,0,1.8,0,26.3,4,1
CC(CCOC(=O)C)C,31276,130.18,2,0,2,0,26.3,4,1
CCCCCCCC=C,31285,126.24,0,0,5.2,0,0,6,1
ClC(=C(Cl)Cl)Cl,31373,165.8,0,0,3.4,0,0,0,1
c1cc2ccc3c4c2c(c1)ccc4ccc3,31423,202.25,0,0,4.9,0,0,0,1
Clc1ccc2c(c1)C(=NCC(=O)N2CC(F)(F)F)c1ccccc1,31640,352.7,5,0,4,0,32.7,2,1
CNCCCC1(C)CN(c2c1cccc2)c1ccccc1,31707,280.4,2,1,4.3,0,15.3,5,1
