smiles,cid,Molecular_Weight,Hydrogen_bond_Acceptor,Hydrogen_bond_Donor,xlogP,Physiological_Charge,Polarized_Surface_Area,Number_of_Rotatable_bonds,BBB,,cid,,,cid
COc1cc2[nH]c(c(c2cc1OC)CCN1CCN(CC1)c1ccccc1)C,4640,379.5,4,1,4.3,0,40.7,6,1,,4496,,,62959
CN(CC#C)Cc1ccccc1,4688,159.23,1,0,2.1,0,3.2,3,1,,4506,,,65281
Fc1ccc(cc1)C1CCNCC1COc1ccc2c(c1)OCO2,4691,329.4,5,1,3.5,0,39.7,4,1,,4539,,,74989
NC1=NC(=O)C(O1)c1ccccc1,4723,176.17,2,1,0.9,0,64.7,1,1,,4543,,,2761171
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,4737,226.27,3,2,2.1,0,75.3,4,1,,4594,,,5281007
OC1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C#N)CC1,4747,365.5,5,1,3.5,0,75.8,4,1,,4614,,,25880656
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)Cl)CC1,4748,404,5,1,4.2,0,55.2,6,1,,4635,,,26275995
NC(=O)NC(=O)Cc1ccccc1,4753,178.19,2,2,0.9,0,72.2,2,1,,4639,,,51601240
CCOc1ccc(cc1)NC(C)=O,4754,179.22,2,1,1.6,0,38.3,3,1,,4640,,,
CC1NCCOC1c1ccccc1,4762,177.24,2,1,1.4,0,21.3,1,1,,4649,,,
CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,4763,232.23,3,2,1.5,0,75.3,2,1,,4680,,,
NC(=O)OCCCc1ccccc1,4770,179.22,2,1,2,0,52.3,5,1,,4687,,,
CN1CCC(CC1)=C1c2ccccc2Sc2ccccc12,4822,293.4,2,0,3.9,0,28.5,0,1,,4748,,,
NC(=O)C1(CCN(CCCC(=O)c2ccc(cc2)F)CC1)N1CCCCC1,4830,375.5,5,1,2,0,66.6,7,1,,4753,,,
NC(=O)CN1CCCC1=O,4843,142.16,2,1,-1.3,0,63.4,2,1,,4754,,,
C1Oc2ccc(cc2O1)CN1CCN(CC1)c1ncccn1,4850,298.34,6,0,1.8,0,50.7,3,1,,4756,,,
CC(C)(C)C(=O)OCOC(=O)C1N2C(SC1(C)C)C(/N=C/N1CCCCCC1)C2=O PIVMECILLINAM,4857,439.6,7,0,3.1,0,114,8,0,,4763,,,
Clc1ccc2c(c1)C(=NCC(=O)N2CC1CC1)c1ccccc1,4890,324.8,2,0,3.6,0,32.7,3,1,,4764,,,
CCC1(C(=O)NCNC1=O)c1ccccc1,4909,218.25,2,2,0.9,0,58.2,2,1,,4770,,,
CNNCc1ccc(cc1)C(=O)NC(C)C,4915,221.3,3,3,0.1,0,53.2,5,1,,4781,,,
CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)Cl)CC1,4917,373.9,4,0,4.9,0,35,4,1,,4822,,,
CN(C)CCCN1c2ccccc2Sc2ccccc12,4926,284.4,3,0,4.5,0,31.8,4,1,,4830,,,
CC(CN1c2ccccc2Sc2ccccc12)N(C)C,4927,284.4,3,0,4.8,0,31.8,3,1,,4843,,,
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,4932,341.4,4,2,3.3,0,58.6,11,0,,4848,,,
CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,4940,340.5,4,0,4.8,0,48.8,5,1,,4850,,,
CC(C)c1cccc(c1O)C(C)C,4943,178.27,1,1,3.8,0,20.2,2,1,,4890,,,
CC(C)NCC(O)COc1cccc2ccccc12,4946,259.34,3,2,3,0,41.5,6,0,,4909,,,
CNCCCC1c2ccccc2C=Cc2ccccc12,4976,263.4,1,1,4.4,0,12,4,1,,4911,,,
CC(O)Cn1cnc2c1C(=O)N(C)C(=O)N2C,4977,238.24,4,1,-0.8,0,78.7,2,1,,4914,,,
CCC1(CC)C(=O)NC=CC1=O,4994,167.2,2,1,1,0,46.2,2,1,,4915,,,
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(cc21)Cl,4999,386.8,6,0,4,0,47.7,2,1,,4917,,,
OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2ccccc12,5002,383.5,5,1,2.1,0,73.6,6,1,,4919,,,
COc1cc2c(cc1OC)C(CN(C)CC2)c1ccccc1,5024,297.4,3,0,3.7,0,21.7,3,1,,4926,,,
CN(C)C(=O)c1nn(c(n1)CNC(=O)CN)c1ccc(cc1C(=O)c1ccccc1Cl)Cl,5069,475.3,6,2,2.3,0,123,7,1,,4934,,,
Nc1sc2cc(ccc2n1)OC(F)(F)F,5070,234.2,7,1,3.6,0,76.4,1,1,,4943,,,
CC1=C(CCN2CCC(CC2)c2noc3cc(ccc23)F)C(=O)N2CCCCC2=N1,5073,410.5,6,0,2.7,0,61.9,4,1,,4976,,,
COc1ccc(cc1OC1CCCC1)C1CNC(=O)C1,5092,275.34,3,1,2.2,0,47.6,4,1,,4991,,,
CCCN(CCC)CCc1cccc2c1CC(=O)N2,5095,260.37,2,1,2.7,0,32.3,7,1,,4992,,,
NC(=O)c1ccccc1O,5147,137.14,2,2,1.3,0,63.3,1,1,,4993,,,
OC(=O)c1ccccc1OC(=O)c1ccccc1O,5161,258.23,5,2,3,0,83.8,4,1,,4994,,,
CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,5193,238.28,3,2,2,0,75.3,5,1,,4999,,,
CN1CCC2=C(C1)c1ccccc1Cc1ccccc21,5205,261.4,1,0,3.3,0,3.2,0,1,,5002,,,
FCOC(C(F)(F)F)C(F)(F)F,5206,200.05,8,0,2.8,0,9.2,2,1,,5069,,,
CC(C)CC(N(C)C)C1(CCC1)c1ccc(cc1)Cl,5210,279.8,1,0,5.4,0,3.2,5,1,,5070,,,
Nc1ccc(cc1)S(=O)(=O)Nc1ncccn1,5215,250.28,6,2,-0.1,0,106,3,1,,5073,,,
Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,5265,395.5,5,1,3,0,52.6,6,1,,5095,,,
O=C1NCN(c2ccccc2)C21CCN(CC2)CC1COc2ccccc2O1,5268,379.5,5,1,3.1,0,54,3,1,,5142,,,
CC1(C)SC2C(NC(=O)C(c3ccccc3)S(O)(=O)=O)C(=O)N2C1C(O)=O SULBENICILLIN,5317,414.5,8,3,1.1,0,175,5,0,,5147,,,
Cc1onc(c1)NS(=O)(=O)c1ccc(cc1)N,5329,253.28,6,2,0.9,0,107,3,1,,5161,,,
CCN1CCCC1CNC(=O)c1cc(ccc1OC)S(N)(=O)=O,5355,341.4,6,2,0.6,0,110,6,1,,5205,,,
NS(=O)(=O)c1ccc(cc1)N1CCCCS1(=O)=O,5356,290.4,6,1,0.1,0,114,2,1,,5206,,,
CCN1CCCC1CNC(=O)c1cc(ccc1OC)S(=O)(=O)CC,5357,354.5,5,1,1.6,0,84.1,7,1,,5215,,,
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(ccc21)Cl,5391,300.74,3,1,2.2,0,52.9,1,1,,5265,,,
CC(C)(C)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1,5405,471.7,3,2,6.6,0,43.7,9,0,,5329,,,
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,5426,258.23,4,1,0.3,0,83.6,1,1,,5339,,,
Cn1cnc2c1C(=O)NC(=O)N2C,5429,180.16,3,1,-0.8,0,67.2,0,1,,5344,,,
[nH]1c2ccccc2nc1c1cscn1,5430,201.25,3,1,2.5,0,69.8,1,1,,5356,,,
CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl,5433,356.2,5,3,-0.3,0,112,6,1,,5429,,,
CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,5440,399.6,5,0,5.4,0,60.3,6,1,,5440,,,
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,5452,370.6,4,0,5.9,0,57.1,4,1,,5453,,,
CCN(CC)CCNC(=O)c1cc(ccc1OC)S(C)(=O)=O,5467,328.4,5,1,0.9,0,84.1,8,1,,5467,,,
CCN(CC)C(=O)c1cccnc1,5497,178.23,2,0,0.3,0,33.2,3,1,,5479,,,
CCC1C(=NN=C(c2ccc(c(c2)OC)OC)c2cc(c(cc12)OC)OC)C,5502,382.5,6,0,3.2,0,61.6,6,1,,5497,,,
CCCCNc1c2cnn(c2nc(c1C(=O)OCC)C)CC,5522,304.39,5,1,3.5,0,69,8,1,,5503,,,
NC1CC1c1ccccc1,5530,133.19,1,1,1.5,0,26,1,1,,5505,,,
Clc1cccc(c1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1,5533,371.9,4,0,2.8,0,42.4,5,1,,5515,,,
Cc1nnc2n1c1ccc(cc1C(=NC2)c1ccccc1Cl)Cl,5556,343.2,3,0,2.4,0,43.1,1,1,,5522,,,
BrC(Br)Br,5558,252.73,0,0,2.8,0,0,0,1,,5533,,,
OP(O)(=O)OCC(Cl)(Cl)Cl,5563,229.38,4,2,0.3,0,66.8,2,1,,5546,,,
CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,5566,407.5,7,0,5,0,35,4,1,,5556,,,
OC1(CCN(CCCC(=O)c2ccc(cc2)F)CC1)c1cccc(c1)C(F)(F)F,5567,409.4,7,1,3.5,0,40.5,6,1,,5558,,,
CN(C)CCCN1c2ccccc2Sc2ccc(cc12)C(F)(F)F,5568,352.4,6,0,5.2,0,31.8,4,1,,5563,,,
CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,5574,298.4,3,0,4.7,0,31.8,4,1,,5566,,,
CN1C(=O)OC(C)(C)C1=O,5576,143.14,3,0,0.3,0,46.6,0,1,,5567,,,
COc1cc(cc(c1OC)OC)Cc1cnc(nc1N)N,5578,290.32,7,2,0.9,0,106,5,1,,5568,,,
COc1cc(cc(c1OC)OC)NCc1ccc2nc(nc(c2c1C)N)N,5583,369.4,8,3,2.5,0,118,6,1,,5572,,,
CC(CN(C)C)CN1c2ccccc2CCc2ccccc12,5584,294.4,2,0,5.8,0,6.5,4,1,,5576,,,
CCOC(N)=O,5641,89.09,2,1,-0.2,0,52.3,2,1,,5578,,,
CC(C)C1NC(=O)C(C)OC(=O)C(NC(=O)C(OC(=O)C(NC(=O)C(C)OC(=O)C(NC(=O)C(OC(=O)C(NC(=O)C(C)OC(=O)C(NC(=O)C(OC1=O)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C,5649,1111.3,18,6,9.1,0,332,9,0,,5583,,,
COc1ccc(cc1)C(CN(C)C)C1(O)CCCCC1,5656,277.4,3,1,2.9,0,32.7,5,1,,5625,,,
NC(CCC(O)=O)C=C,5665,129.16,3,2,-2.2,0,63.3,4,1,,5641,,,
CCOc1ccccc1OCC1CNCCO1,5666,237.29,4,1,1.5,0,39.7,5,1,,5707,,,
Cc1cccc(c1NC1=NCCCS1)C,5707,220.34,2,1,2.8,0,49.7,2,1,,5732,,,
CCN(C(C)=O)c1cccc(c1)C1=CC=Nc2n1ncc2C#N,5719,305.33,4,0,1,0,74.3,3,1,,5734,,,
CN(C)C(=O)Cc1n2c(nc1c1ccc(cc1)C)C=CC(=C2)C,5732,307.4,2,0,2.5,0,37.6,3,1,,5736,,,
NS(=O)(=O)Cc1noc2ccccc12,5734,212.23,5,1,0.2,0,94.6,2,1,,5752,,,
CN1CCN(CC1)C(=O)OC1N(C(=O)c2nccnc12)c1ccc(cn1)Cl,5735,388.8,7,0,0.5,0,91.8,3,1,,5808,,,
CN(C)CCOC1=Cc2ccccc2Sc2ccc(cc12)Cl,5736,331.9,3,0,4.8,0,37.8,4,1,,5814,,,
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,5743,392.5,6,3,1.9,0,94.8,2,1,,5826,,,
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,5744,404.5,6,2,2.2,0,101,4,1,,5838,,,
CCC(O)(COC(N)=O)c1ccccc1,5752,209.24,3,2,1.1,0,72.6,5,1,,5842,,,
C[C@@]12CCC(=O)C=C2CC[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]21,5754,362.5,5,3,1.6,0,94.8,2,1,,5917,,,
C[C@@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]2CC[C@]1(O)C(=O)CO,5755,360.4,5,3,1.6,0,94.8,2,1,,5977,,,
C[C@@]12CC[C@H]3[C@@H](CCc4cc(ccc34)O)[C@@H]2CC[C@@H]1O,5757,272.4,2,2,4,0,40.5,0,0,,6009,,,
CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(ccc45)OC)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c1cc(c(c(c1)OC)OC)OC,5770,608.7,10,1,4,0,118,10,1,,6047,,,
[O-]C(=O)C1=C(CS[C@@H]2[C@H](NC(=O)Cc3sccc3)C(=O)N21)C[n+]1ccccc1 CEFALORIDINE,5773,415.5,6,1,1.9,0,147,5,0,,6077,,,
CNC[C@H](O)c1ccc(c(c1)O)O EPINEPHRINE,5816,183.2,4,4,-1.4,0,72.7,3,0,,6212,,,
C[C@H](N)Cc1ccccc1,5826,135.21,1,1,1.8,0,26,2,1,,6276,,,
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,5834,402.5,6,2,2.4,0,101,4,1,,6278,,,
CCC1(C(=O)NC(=O)NC1=O)C1=CCCCC1,5838,236.27,3,2,1.8,0,75.3,2,1,,6292,,,
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,5842,208.21,3,2,1,0,75.3,4,1,,6305,,,
C[C@@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]2CC[C@]1(O)C(=O)CO,5865,358.4,5,2,1.5,0,91.7,2,1,,6325,,,
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,5875,392.5,6,3,2,0,94.8,2,1,,6337,,,
C[C@@]12C=CC(=O)C=C2[C@@H](F)C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]21,5876,378.4,6,3,1.4,0,94.8,2,1,,6344,,,
C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)COC(C)=O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,5877,416.5,6,2,2.7,0,101,4,1,,6348,,,
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(O)=O BENZYLPENICILLIN,5904,334.4,5,2,1.8,0,112,4,0,,6351,,,
C1CCn2nnnc2CC1,5917,138.17,3,0,0.1,0,43.6,0,1,,6354,,,
CC(Cc1ccccc1)NN,5929,150.22,2,2,1.3,0,38,3,1,,6358,,,
OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)[N+]([O-])=O,5959,323.13,5,3,1.1,0,115,5,1,,6365,,,
CC(C)(O)C(Cl)(Cl)Cl,5977,177.45,1,1,2,0,20.2,0,1,,6386,,,
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc43)[C@@](C2)(C(=O)OC)c2cc3c(cc2OC)N(C=O)[C@H]2[C@](O)([C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@@]23[C@@H]54)C(=O)OC)C1,5978,825,12,3,2.8,0,171,10,0,,6400,,,
CN1CCc2cccc3c2[C@H]1Cc1ccc(c(c31)O)O,6005,267.32,3,2,2.3,0,43.7,0,1,,6403,,,
COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,6018,317.4,4,0,2.9,0,38.8,4,1,,6405,,,
CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1sccc1)C2=O)C(O)=O CEFALOTIN,6024,396.4,8,2,-0.4,0,167,7,0,,6408,,,
N[C@@H](Cc1ccc(c(c1)O)O)C(O)=O,6047,197.19,5,4,-2.7,0,104,3,1,,6429,,,
CN1CCN(CC1)CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,6064,442.6,6,2,1.6,0,81.1,3,1,,6433,,,
CCC1C(=O)NC(=O)C1(C)c1ccccc1,6068,217.26,2,1,1.9,0,46.2,2,1,,6464,,,
CN1CCCC(C1)CN1c2ccccc2Sc2ccccc21,6075,310.5,3,0,5.6,0,31.8,2,1,,6468,,,
CN(C)CCCN1c2ccccc2Sc2ccc(cc21)C(C)=O,6077,326.5,4,0,4.2,0,48.8,5,1,,6473,,,
COc1cccc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)OC METICILLIN,6087,380.4,7,2,1.2,0,131,5,0,,6475,,,
Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)c1ccccc1Cl CLOXACILLIN,6098,435.9,7,2,2.4,0,138,4,0,,6476,,,
CCC(C)C(C)(COC(N)=O)COC(N)=O,6151,232.28,4,2,1.4,0,105,8,1,,6488,,,
COC1=CC=C2C(=CC1=O)[C@H](CCc1cc(c(c(c21)OC)OC)OC)NC(C)=O,6167,399.4,6,1,1,0,83.1,5,0,,6489,,,
CC(NN)c1ccccc1,6179,136.19,2,2,0.9,0,38,2,1,,6493,,,
Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)c1ccccc1 OXACILLIN,6196,401.4,7,2,2.4,0,138,4,0,,6503,,,
ClC(Cl)Cl,6212,119.37,0,0,2.3,0,0,0,1,,6526,,,
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(O)=O AMPICILLIN,6249,349.4,6,3,-1.1,0,138,4,0,,6560,,,
COc1ccccc1OCC1CNC(=O)O1,6257,223.22,4,1,1.4,0,56.8,4,1,,6569,,,
Cc1ccccc1N1C(=Nc2ccccc2C1=O)C,6292,250.29,2,0,2.5,0,32.7,1,1,,6574,,,
N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O,6305,204.22,3,3,-1.1,0,79.1,3,1,,6575,,,
C=C,6325,28.05,0,0,1.2,0,0,0,1,,6584,,,
CCCl,6337,64.51,0,0,1.2,0,0,0,1,,6617,,,
ClCCl,6344,84.93,0,0,1.5,0,0,0,1,,6623,,,
C1CC1,6351,42.08,0,0,1.6,0,0,0,1,,6762,,,
OCC(Br)(Br)Br,6400,282.76,1,1,2.1,0,20.2,0,1,,7028,,,
CCC(C)(C)O,6405,88.15,1,1,0.9,0,20.2,1,1,,7174,,,
FC(F)(Cl)C(F)(F)Cl,6429,170.92,4,0,2.8,0,0,1,1,,7237,,,
CCC(C)(S(=O)(=O)CC)S(=O)(=O)CC,6433,242.4,4,0,1,0,85,5,1,,7247,,,
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,6436,434.5,7,2,2.5,0,93.1,2,1,,7282,,,
CC(C)C1(CC=C)C(=O)NC(=O)NC1=O,6464,210.23,3,2,1.1,0,75.3,3,1,,7296,,,
C1CCN(CC1)C1(CCCCC1)c1ccccc1,6468,243.4,1,0,3.6,0,3.2,2,1,,7394,,,
CCC(=O)OC1(CCN(C)CC1C)c1ccccc1,6471,261.36,3,0,2.8,0,29.5,4,1,,7500,,,
CN(C)CCOC(C)(c1ccccc1)c1ccc(cc1)Cl,6475,303.8,2,0,4.1,0,12.5,6,1,,7501,,,
CN1C(=O)CC(C)(C1=O)c1ccccc1,6476,203.24,2,0,1.2,0,37.4,1,1,,7510,,,
CC(=O)Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)NC(C)=O,6477,332.4,4,2,1.1,0,101,4,1,,7809,,,
CCC(Br)(CC)C(=O)NC(N)=O,6488,237.09,2,2,1.5,0,72.2,3,1,,7840,,,
CCC(Br)(CC)C(=O)NC(=O)NC(C)=O,6489,279.13,3,2,2.3,0,75.3,3,1,,7845,,,
CCC(C)(O)C#C,6494,98.14,1,1,0.8,0,20.2,2,1,,7853,,,
OC(OCC(COC(O)C(Cl)(Cl)Cl)(COC(O)C(Cl)(Cl)Cl)COC(O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,6519,725.7,8,4,5.1,0,118,12,1,,7892,,,
CCC(C)(CC)OC(N)=O,6526,145.2,2,1,1.5,0,52.3,4,1,,7895,,,
ClC=C(Cl)Cl,6575,131.38,0,0,2.6,0,0,0,1,,7902,,,
CC(C)(O)C(C)(O)c1ccc(cc1)Cl,6617,214.69,2,2,1.8,0,40.5,2,1,,7915,,,
CC(C)(C)c1ccc(cc1)CN1CCN(CC1)C(c1ccccc1)c1ccc(cc1)Cl,6729,433,2,0,7.1,0,6.5,6,1,,7929,,,
C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,6741,374.5,5,3,1.9,0,94.8,2,1,,7997,,,
CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)Cl)CC1,6762,446,6,0,4.8,0,61.3,8,1,,8003,,,
CN1C(=O)CC(C1=O)c1ccccc1,6839,189.21,2,0,0.8,0,37.4,1,1,,8024,,,
CN(C)CCO,7902,89.14,2,1,-0.4,0,23.5,2,1,,8038,,,
C=COC=C,8024,70.09,1,0,1.3,0,9.2,2,1,,8058,,,
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@H]([C@@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,8233,733.9,14,5,2.7,0,194,7,0,,8078,,,
CCS(=O)(=O)C(C)(C)S(=O)(=O)CC,8262,228.3,4,0,0.4,0,85,4,1,,8125,,,
CCC1(C(=O)NC(=O)N(C)C1=O)c1ccccc1,8271,246.26,3,1,1.8,0,66.5,2,1,,8141,,,
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,8275,224.26,3,2,1.4,0,75.3,4,1,,8252,,,
CCC1(C)OC(=O)N(C)C1=O,8280,157.17,3,0,0.8,0,46.6,1,1,,8262,,,
Oc1ccccc1C(=O)Oc1ccccc1,8361,214.22,3,1,3.8,0,46.5,3,1,,8271,,,
CCC(N)Cc1c[nH]c2ccccc12,8367,188.27,1,2,2.5,0,41.8,3,1,,8275,,,
ClCCC1NC(=O)c2ccccc2O1,8602,211.64,2,1,2.1,0,38.3,2,1,,8280,,,
Nc1cccc(c1)N1C=CC=CC1=O,8641,186.21,2,1,1.3,0,46.3,1,1,,8361,,,
NS(=O)(=O)c1ccc(cc1)C(O)=O,8739,201.2,5,2,0.5,0,106,2,1,,8441,,,
CCOC(=O)C1(CCN(CCc2ccc(cc2)N)CC1)c1ccccc1,8944,352.5,4,1,3.7,0,55.6,7,1,,8522,,,
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,8955,316.5,2,1,4.2,0,37.3,1,1,,8641,,,
CCOc1ccc2ccccc2c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O NAFCILLIN,8982,414.5,6,2,2.9,0,121,5,0,,8723,,,
CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O,9034,262.3,3,1,2.3,0,66.5,3,1,,8739,,,
CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,9330,327.4,4,1,2.6,0,49.8,9,1,,8857,,,
NC(=O)C1(CCN(CC1)CCC(C#N)(c1ccccc1)c1ccccc1)N1CCCCC1,9331,430.6,4,1,3.7,0,73.4,7,1,,8900,,,
ClCCC(=O)NCCc1ccccc1,9376,211.69,1,1,2,0,29.1,5,1,,8942,,,
OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc23)CC1,9417,363.5,4,1,3.6,0,30,6,1,,8944,,,
CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc12,9419,295.4,3,0,2.7,0,26.8,3,1,,9321,,,
CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)S(=O)(=O)N(C)C)CC1,9429,446.6,7,0,3.7,0,80.8,6,1,,9330,,,
CC1=Nc2ccccc2C(=O)N1c1ccccc1Cl,9567,270.71,2,0,2.8,0,32.7,1,1,,9376,,,
CC(CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1,9648,392.5,3,0,3.8,0,32.8,6,1,,9417,,,
CCC1(CC)C(=O)NC(=O)N(C1=O)c1ccccc1,9650,260.29,3,1,2.7,0,66.5,3,1,,9419,,,
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@]13CCN(C)C2,9651,287.35,4,1,1.8,0,41.9,1,1,,9429,,,
NC(=O)OC1(CCCCC1)CC#C,9661,181.23,2,1,1.7,0,52.3,3,1,,9567,,,
CNC(C)C(O)c1ccc(cc1)O HYDROXYEPHEDRINE,9701,181.23,3,3,0.6,0,52.5,3,0,,9648,,,
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,9782,392.5,6,3,1.9,0,94.8,2,1,,9650,,,
COc1cc(cc(c1OC)OC)C(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc32)Cl)CC1,9800,598.2,9,0,6.3,0,89,12,1,,9664,,,
FC(F)(F)COC=C,9844,126.08,4,0,1.9,0,9.2,2,1,,9800,,,
C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)[C@@]2(C)C=CC(=O)C=C12,9878,376.5,5,2,2,0,74.6,1,1,,9844,,,
CCC(=O)C(C(C)CN(C)C)(c1ccccc1)c1ccccc1,10072,309.4,2,0,4.4,0,20.3,7,1,,10072,,,
OC(C1CCCCN1)(c1ccccc1)c1ccccc1,10083,267.4,2,2,3,0,32.3,3,1,,10090,,,
CCC(=O)C(CCN(C)C)(c1ccccc1)c1ccccc1,10090,295.4,2,0,3.5,0,20.3,7,1,,10101,,,
CCC(=O)O[C@@](Cc1ccccc1)([C@H](C)CN(C)C)c1ccccc1,10100,339.5,3,0,4.2,0,29.5,9,1,,10253,,,
CCC(=O)C1(CCN(C)CC1)c1cccc(c1)O,10101,247.33,3,1,1,0,40.5,3,1,,10257,,,
CC(C)C1(OCC(CO)O1)C(C)C,10105,188.26,3,1,1.7,0,38.7,3,1,,10391,,,
CC[C@H]1CN2CCc3cc(c(cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(c(cc12)OC)OC)OC)OC,10219,480.6,6,1,4.7,0,52.2,7,0,,10518,,,
CCCCSc1ccc(cc1)C(SCCN(C)C)c1ccccc1,10240,359.6,3,0,5.9,0,53.8,10,1,,10612,,,
ClCCC(=O)NCc1ccccc1,10391,197.66,1,1,1.7,0,29.1,4,1,,10624,,,
